Subject,Object
Norrtelje,compound locomotive
Engelbrekt,compound locomotive
McLaren 650S,petrol engine
Triumph TR3,petrol engine
Artega GT,petrol engine
Porsche 2020,petrol engine
Chevrolet SSR,petrol engine
Ferrari GTC4Lusso,petrol engine
Aston Martin V8 Zagato,petrol engine
Aston Martin Vantage,petrol engine
Aston Martin DB4 GT Zagato,petrol engine
SS Thomée,compound steam engine
Vallibel Wind Farm,Vawin
MV Västan,diesel engine
Madurankuliya Wind Farm,ReGen Vensys 82
Tesla Model 3,synchronous motor
McLaren 570S,McLaren M838T engine
Bodangora Wind Farm,General Electric 3.4-130
